Reactions: R00728,R09539,R07695,R07696,R07691,R07690,R07703,R09227,R09228,R01634,R05274,R05699 | Compounds: C00082,C00146,C00805,C16213,C16212,C16214,C16215,C01606,C18314,C03223,C00230,C06672,C00755
Reactions: R00736,R02382,R02695,R07312,R02675,R01303,R01296,R07668,R05273 | Compounds: C00082,C00483,C03765,C00642,C01468,C00633,C00156,C00230,C06672,C00755
Reactions: R00728,R05625,R05603,R01298,R07668,R05699 | Compounds: C00082,C00146,C02734,C00156,C00230,C06672,C00755
Reactions: R00728,R10043,R00821,R01508,R01628,R10136,R05273 | Compounds: C00082,C00146,C00090,C00196,C00587,C00230,C06672,C00755
Reactions: R00728,R11653,R00821,R01508,R01628,R05274,R05699 | Compounds: C00082,C00146,C00090,C00196,C00587,C00230,C06672,C00755
Reactions: R00728,R01238,R01296,R10136,R05273 | Compounds: C00082,C00146,C00156,C00230,C06672,C00755
Reactions: R00728,R01238,R01295,R01427,R01628,R07668,R05273 | Compounds: C00082,C00146,C00156,C00180,C00587,C00230,C06672,C00755
Reactions: R10246,R02675,R01293,R01298,R10136,R05273 | Compounds: C00082,C01468,C00633,C00156,C00230,C06672,C00755
Reactions: R00728,R01238,R01296,R07668,R05273 | Compounds: C00082,C00146,C00156,C00230,C06672,C00755
Reactions: R12540,R03794,R04160,R02672,R01303,R01295,R07835,R05148,R01633,R10136,R05273 | Compounds: C00082,C05650,C03198,C03590,C00633,C00156,C00180,C06337,C06318,C00230,C06672,C00755
Reactions: R12759,R01238,R01298,R10136,R05699 | Compounds: C00082,C00146,C00156,C00230,C06672,C00755
Reactions: R00728,R10043,R07706,R11744,R05383,R02669,R09517,R00980,R01508,R01628,R07668,R05273 | Compounds: C00082,C00146,C00090,C06813,C02720,C01987,C00632,C00108,C00196,C00587,C00230,C06672,C00755
Reactions: R12759,R01238,R01296,R07668,R05273 | Compounds: C00082,C00146,C00156,C00230,C06672,C00755
Reactions: R12759,R05625,R05603,R01296,R07668,R05273 | Compounds: C00082,C00146,C02734,C00156,C00230,C06672,C00755
Reactions: R00728,R00815,R07700,R01860,R05280,R07668,R05699 | Compounds: C00082,C00146,C00090,C00292,C00568,C00230,C06672,C00755
Reactions: R00728,R01238,R01296,R05274,R05699 | Compounds: C00082,C00146,C00156,C00230,C06672,C00755
Reactions: R00728,R05625,R05603,R01296,R05274,R05699 | Compounds: C00082,C00146,C02734,C00156,C00230,C06672,C00755
Reactions: R09254,R02521,R02514,R07312,R02675,R01293,R01298,R05274,R05273 | Compounds: C00082,C01179,C00544,C00642,C01468,C00633,C00156,C00230,C06672,C00755
