Reactions: R09830,R09254,R12622 | Compounds: C00082,C01179,C00022,C00755
Reactions: R12540,R00690,R02540,R05487,R05450,R02520,R02655,R02489,R05482,R02562,R05280,R05274,R05273 | Compounds: C00082,C00079,C02505,C07086,C05852,C00544,C05585,C00628,C00530,C02372,C00568,C00230,C06672,C00755
Reactions: R09830,R02521,R02514,R06790,R07855,R11733,R01767,R01419,R01427,R01628,R07668,R05699 | Compounds: C00082,C01179,C00544,C00642,C07086,C16074,C00561,C00261,C00180,C00587,C00230,C06672,C00755
Reactions: R09830,R02521,R02520,R02657,R02589,R01628,R07668,R05273 | Compounds: C00082,C01179,C00544,C05585,C00628,C00587,C00230,C06672,C00755
Reactions: R09830,R02521,R02515,R03299,R13085,R13083,R03640,R07991,R07988,R01942,R12566 | Compounds: C00082,C01179,C00544,C05593,C01161,C22552,C01617,C05631,C15525,C00323,C00406,C00755
Reactions: R09830,R03339,R12492,R01308,R01296,R10136,R05273 | Compounds: C00082,C01179,C03964,C00811,C00156,C00230,C06672,C00755
Reactions: R09830,R02521,R02518,R02655,R02589,R01628,R05274,R05699 | Compounds: C00082,C01179,C00544,C05585,C00628,C00587,C00230,C06672,C00755
Reactions: R00031,R11916,R03302,R03299,R02515,R02520,R02657,R02589,R01628,R10136,R05273 | Compounds: C00082,C00355,C04043,C01161,C05593,C00544,C05585,C00628,C00587,C00230,C06672,C00755
Reactions: R10246,R02675,R01294,R01298,R10136,R05273 | Compounds: C00082,C01468,C00633,C00156,C00230,C06672,C00755
Reactions: R09830,R06632,R06633,R02672,R01303,R01298,R07668,R05273 | Compounds: C00082,C01179,C03198,C03590,C00633,C00156,C00230,C06672,C00755
Reactions: R09830,R00042,R02514,R02518,R02655,R02589,R01628,R05274,R05273 | Compounds: C00082,C01179,C00642,C00544,C05585,C00628,C00587,C00230,C06672,C00755
Reactions: R07212,R08846,R13082,R13072,R08012,R07992,R07989,R05772,R05773 | Compounds: C00082,C00355,C10447,C22567,C05631,C09756,C16405,C00406,C07303,C00755
Reactions: R09830,R02521,R02520,R02655,R02589,R01508,R00821,R00822,R07668,R05699 | Compounds: C00082,C01179,C00544,C05585,C00628,C00587,C00196,C00090,C00230,C06672,C00755
